food_item,gdqs_category,mdd_adult,mdd_child,phdi_category,gdr_category,species,Edible conversion factor,Energy(kJ),Energy (kcal),Water(g),Protein(g),Fat(g),Carbohydrate available (g),Fibre(g),Ash(g),Ca(mg),Fe(mg),Mg(mg),P(mg),K(mg),Na(mg),Zn(mg),Se(mcg),Vit A-RAE(mcg),Vit A-RE(mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin (mg),Riboflavin (mg),Niacin(mg),Dietary Folate Eq.(mcg),Food folate (mcg),Vit B12 (mcg),Vit C(mg)
"Chicken, unspecified part, without bone, meat&skin, boiled",Poultry And Game Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Chicken And Substitutes,No GDR Assignment,Chicken,0.79,942,226,55.7,23.7,14.6,0,0,1.2,14,2.5,18,215,77,34,1.13,21,52,52,52,0,0.1,0.14,4.9,7,7,0,2
"Chicken, unspecified part, without bone, meat&skin, grilled",Poultry And Game Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Chicken And Substitutes,No GDR Assignment,Chicken,0.78,951,228,55.2,24,14.7,0,0,1.2,15,2.9,19,249,156,70,1.14,21,72,72,72,0,0.11,0.13,6.6,9,9,1,1
"Duck, meat and skin, fresh, raw",Poultry And Game Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Chicken And Substitutes,No GDR Assignment,Duck,1,1050,253,62.2,17.8,21.2,0,0,1.1,5,1.9,15,167,212,82,1.55,20,39,39,39,0,0.35,0.45,3.51,0,0,0.6,0
"Guinea fowl, meat, with skin",Poultry And Game Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Chicken And Substitutes,No GDR Assignment,Guinea fowl,1,471,112,75.2,20.5,3.2,0.1,0,0.9,31,2.2,21,187,240,58,1.48,24,2,2,2,0,0.02,0.18,3.6,4,4,0.27,1
"Quail, flesh & skin, raw",Poultry And Game Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Chicken And Substitutes,No GDR Assignment,Quail,0.54,729,175,69.7,19.1,11.5,0,0,1,10,2.6,24,243,358,49,1.58,16,47,47,47,0,0.17,0.39,7.1,8,8,0.82,6
"Rabbit meat, raw",Poultry And Game Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Chicken And Substitutes,No GDR Assignment,Rabbit,1,636,151,67,24.4,4.8,2.5,0,1.3,12,1,18,290,370,53,1.6,25,10,10,10,0,0.46,0.06,7.5,11,11,5.3,0
"Rabbit meat, roasted",Poultry And Game Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Chicken And Substitutes,No GDR Assignment,Rabbit,1,674,160,62.4,27.7,5.5,0,0,1.5,13,1.1,17,280,336,51,1.82,28,9,9,9,0,0.31,0.05,6,10,10,4,0
"Rabbit meat, stewed",Poultry And Game Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Chicken And Substitutes,No GDR Assignment,Rabbit,1,872,207,51.4,35.8,7.1,0,0,2,15,1.5,17,341,299,47,2.35,37,12,12,12,0,0.27,0.05,5.5,10,10,5,0
Aluru (Stewed Quails),Poultry And Game Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Chicken And Substitutes,No GDR Assignment,Quail,1,809,195,65.9,11.3,14.2,5.2,0.6,2.9,90,1.6,23,202,302,761,1.24,9,51,58,44,80,0.06,0.36,2.7,9,9,0.61,7.9
Ingokho (Chicken Stew),Poultry And Game Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Chicken And Substitutes,No GDR Assignment,Chicken,1,883,211,59.7,18.3,12.3,6.4,1.1,2.3,21,2.7,23,211,210,482,1.01,16,63,74,53,125,0.11,0.13,5.1,14,14,0.38,18.4
