food_item,gdqs_category,mdd_adult,mdd_child,phdi_category,gdr_category,species,Edible conversion factor,Energy(kJ),Energy (kcal),Water(g),Protein(g),Fat(g),Carbohydrate available (g),Fibre(g),Ash(g),Ca(mg),Fe(mg),Mg(mg),P(mg),K(mg),Na(mg),Zn(mg),Se(mcg),Vit A-RAE(mcg),Vit A-RE(mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin (mg),Riboflavin (mg),Niacin(mg),Dietary Folate Eq.(mcg),Food folate (mcg),Vit B12 (mcg),Vit C(mg)
"Goat, medium fat, grilled",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Goat,0.66,804,192,57.1,26.9,9.3,0,0,1.5,14,2.6,26,286,229,147,4.48,37,21,21,21,0,0.16,0.23,4.4,1,1,3,1
"Goat, medium fat, raw",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Goat,0.74,695,166,68.2,18.6,8.6,3.5,0,1,10,1.9,22,237,198,121,3.26,26,18,18,18,0,0.16,0.18,3.7,1,1,2.34,0.8
"Lamb liver, raw",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Sheep,1,675,161,67.6,20.4,7.5,3.1,0,1.5,10,8.3,18,413,326,67,4.22,57,31400,31400,31400,46,0.3,2.25,10.9,759,759,90,20
"Lamb, liver, boiled",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Sheep,1,811,193,54.5,30.8,7.8,0,0,2.3,12,12,22,438,296,61,6.39,86,38100,38100,38100,56,0.32,3,8.3,748,748,89,21
"Lamb, raw (unspecified part)",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Sheep,1,1120,269,60,17,22.7,0,0,1,12,1.7,22,150,230,60,3.33,20,0,0,0,0,0.12,0.23,6.1,18,18,2.39,0
"Lamb, unspecified part, boiled",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Sheep,1,1430,344,47.2,25.4,26.9,0,0,1.5,14,2.5,21,179,189,54,4.97,30,0,0,0,0,0.07,0.18,4.6,16,16,2,0
"Lamb, unspecified part, grilled",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Sheep,1,1400,338,48.3,24.6,26.6,0,0,1.4,17,2.3,27,185,283,74,4.83,29,0,0,0,0,0.1,0.29,7.1,18,18,3,0
Malesele (Cow Blood with Sour Milk) (Check),Red Meat,"Meat, Poultry And Fish;Milk And Dairy Products","Meat, Poultry And Fish;Milk And Dairy Products",Red Meat,Unprocessed Red Meat,Cow,1,1400,335,37.5,20,21.2,15.4,1,4.9,85,24.8,19,123,831,1070,1.85,29,0,0,106,0,0.1,0.25,0.7,0,0,0,0
Minced Meat Balls,Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Mixed livestock species,1,659,157,65.9,8.1,5.4,18.6,0.8,1.3,14,4.4,17,126,133,321,1.55,7,9,16,2,79,0.02,0.1,1.4,5,5,0.43,4.1
"Munono (Cow blood, beef, cow fat)",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Cow,1,2270,549,23.9,19.5,50.3,4.6,0,1.8,10,16.6,19,203,245,286,3.19,23,0,0,34,0,0.03,0.18,2.6,0,0,0,0
Mutura (African Sausage),Red Meat,Others,Others,Red Meat,Unprocessed Red Meat,No Species Assignment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pork, meat, raw (unspecified part)",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Pig,1,1190,286,57.2,18.9,23.5,0,0,0.7,25,1.1,13,178,253,58,1.59,28,0,0,0,0,0.63,0.17,3.8,4,4,0.6,0
"Pork, meat, unspecified part, boiled",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Pig,1,1550,374,41.8,29.1,28.6,0,0,1.1,30,1.8,12,164,195,40,2.45,44,0,0,0,0,0.29,0.18,2.9,4,4,1,0
"Pork, meat, unspecified part, grilled",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Pig,1,1480,356,44.9,27,27.6,0,0,1,26,1.3,18,228,307,75,2.27,41,0,0,0,0,0.63,0.21,4.3,5,5,1,0
"Sausage, beef, grilled",Processed Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Processed Meat,Cow,1,927,223,48.1,16.1,17,0,3,3,57,1.6,35,623,316,815,4.55,106,155,161,150,65,0.03,0.13,2.9,10,10,2,0
"Sausage, beef, raw",Processed Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Processed Meat,Cow,1,989,238,57.5,12,16.3,9.7,2.2,2.3,42,1,26,492,279,679,3.42,79,129,134,125,54,0.03,0.1,2.6,9,9,1.42,0
"Sausage, frankfurters",Processed Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Processed Meat,Cow;Pig,1,1130,274,60,10,25,1.6,1.5,1.9,78,1.5,11,150,75,1000,2.3,7,9,11,7,24,0.04,0.08,0.9,3,3,1.1,0
"Sausage, frankfurters, boiled",Processed Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Processed Meat,Cow;Pig,1,1130,272,59.2,10.3,25.3,0,2,2,68,1.5,11,155,66,876,2.37,7,8,10,6,23,0.03,0.07,0.7,2,2,1,0
"Sausage, liver, grilled",Processed Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Processed Meat,Cow;Pig,1,1530,369,40.7,17.3,33.3,0,0,4.1,40,8.5,16,291,193,1080,3.07,77,9970,9970,9970,0,0.2,2.03,4.9,34,34,18,0
"Sausage, liver, raw",Processed Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Processed Meat,Cow;Pig,1,1330,322,52,13,28.5,3.4,0,3.1,30,6.4,12,230,170,900,2.3,58,8310,8310,8310,0,0.2,1.6,4.3,30,30,13.46,0
"Sausage, pork, boiled",Processed Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Processed Meat,Pig,1,1470,355,48,12.5,33.6,0,1,2.7,23,1.1,16,174,148,665,1.85,28,26,27,24,13,0.03,0.12,2.2,15,15,0,0
"Sausage, pork, grilled",Processed Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Processed Meat,Pig,1,1730,419,37.4,16,39,0,2,3.5,34,1.5,21,211,189,900,2.36,36,33,34,31,16,0.04,0.16,3.2,25,25,1,0
"Sausage, pork, raw",Processed Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Processed Meat,Pig,1,1420,343,51,11.5,32,1.7,1.3,2.5,25,1.1,15,160,160,720,1.7,26,26,27,25,13,0.04,0.12,2.7,21,21,0.6,0
Smokies,Processed Meat,Others,Others,No PHDI Assignment,Processed Meat,No Species Assignment,1,920.48,0,0,11,15,10,5,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0
Beef Stew,Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Cow,1,756,181,65.7,17.7,10.4,3.8,0.8,1.7,12,11.2,27,257,264,315,3.48,18,14,21,7,89,0.01,0.2,3.3,7,7,1.16,7.7
"Beef, broth",Red Meat,Others,Others,No PHDI Assignment,Unprocessed Red Meat,No Species Assignment,1,26,6,98.1,0.9,0.3,0,0,0.7,4,0,4,56,144,266,0.03,1,1,1,0.67,0,0.01,0.03,0.4,2,2,0,0
"Beef, lean, boiled",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Cow,0.82,884,209,50.3,41.9,4.6,0,0,2.4,7,4.7,30,370,246,99,8.62,30,10,11,8,15,0,0.38,5.3,2,2,3,1
"Beef, lean, grilled",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Cow,0.87,602,142,66.2,28.5,3.1,0,0,1.6,6,3.1,29,349,285,127,5.87,20,7,7,6,10,0,0.29,5.8,2,2,3,1
"Beef, lean, raw",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Cow,0.9,439,104,75.6,20.6,2.3,0.4,0,1.2,5,2.3,24,279,241,107,4.22,15,6,7,6,10,0,0.23,5.2,2,2,2.42,0.5
"Beef, liver, boiled",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Cow,0.99,749,178,60.4,30.2,6.4,0,0,2,7,14.6,20,391,145,68,6.25,25,23677,23759,23595,983,0.24,3.5,7.1,264,264,111,15
"Beef, liver, raw",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Cow,0.99,506,120,73.9,20,4.2,0.7,0,1.3,6,10.1,17,369,159,75,4.12,17,19534,19601,19466,811,0.23,2.63,9.4,268,268,112.84,14
"Beef, medium fat, without bones, boiled",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Cow,0.84,829,197,55.2,32.8,7.4,0,0,1.7,5,20.7,24,303,192,91,6.41,34,12,13,11,6,0,0.27,3.7,2,2,2,1
"Beef, medium fat, without bones, grilled",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Cow,0.87,734,175,61.5,27.3,7.3,0,0,1.4,5,16.3,28,350,272,143,5.34,28,10,10,10,5,0,0.26,4.9,3,3,2,1
"Beef, medium fat, without bones, raw",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Cow,0.9,632,151,70.3,19.7,7.2,1.8,0,1,4,12.4,24,280,231,121,3.85,20,10,10,9,5,0,0.21,4.4,2,2,1.9,0.6
"Beef, stir-fried",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Cow,1,1066,255,50.3,26.7,14.1,5,1,3.1,16,16.4,40,422,483,682,5.13,27,19,28,10,107,0.02,0.31,5.1,10,10,1.86,9.4
"Beef, tripe, boiled",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Cow,0.84,829,197,55.2,32.8,7.4,0,0,1.7,5,20.7,24,303,192,91,6.41,34,12,13,11,6,0,0.27,3.7,2,2,2,1
"Beef, tripe, grilled",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Cow,0.87,734,175,61.5,27.3,7.3,0,0,1.4,5,16.3,28,350,272,143,5.34,28,10,10,10,5,0,0.26,4.9,3,3,2,1
"Beef, unspecified part, boiled",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Cow,0.84,829,197,55.2,32.8,7.4,0,0,1.7,5,20.7,24,303,192,91,6.41,34,12,13,11,6,0,0.27,3.7,2,2,2,1
"Beef, unspecified part, grilled",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Cow,0.87,734,175,61.5,27.3,7.3,0,0,1.4,5,16.3,28,350,272,143,5.34,28,10,10,10,5,0,0.26,4.9,3,3,2,1
Mbuboyi (Blood Cooked in Fresh Milk),Red Meat,"Meat, Poultry And Fish;Milk And Dairy Products","Meat, Poultry And Fish;Milk And Dairy Products",Red Meat,Unprocessed Red Meat,Cow,1,410,97,76.2,11.5,2,8.3,0,2,57,13.9,8,62,199,361,1.08,17,0,0,65,0,0.05,0.17,0.2,0,0,0,0
"Arrowroot (nduma), flour",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Arrowroot,1,1410,331,16.5,0.2,0.2,81.8,0.9,0.5,33,1,4,7,11,2,0.57,0,0,0,0,0,0.1,0.02,0.48,0,0,0,0
"Arrowroot (nduma), peeled, boiled",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Arrowroot,1,461,109,70.9,3.2,0.3,22.3,2,1.3,6,1,23,40,548,28,0.86,1,1,3,0,16,0.17,0.08,1.9,0,0,0,1
"Arrowroot (nduma), peeled, raw",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Arrowroot,0.76,461,109,70.9,3.2,0.3,22.3,0,1.3,6,1.1,25,43,685,36,1,1,1,3,0,17,0.22,0.09,2.56,0,0,0,2
Arrowroot Stew,White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Arrowroot,1,383,91,77.8,1.9,2.3,14.9,1.8,1.4,11,0.9,18,41,431,250,0.44,1,48,95,0,570,0.09,0.05,1.1,13,13,0,5.3
"Arrowroots, pan-fried",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Arrowroot,1,761,181,56.9,4.1,5.2,28.3,2.5,3.1,8,1.3,29,50,696,616,1.09,1,2,3,0,20,0.21,0.1,2.4,0,0,0,1.7
"Banana, BITA 3, dried, flour",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Banana,1,1550,366,2.3,3.9,1.8,78.5,9.9,3.6,30,1.2,60,100,1030,4,0.62,4,13,25,0,151,0.18,0.24,2.8,14,14,0,7.1
"Banana, cavendish, unripe, raw",White Roots And Tubers,Other Fruits,Other Fruits And Vegetables,Tubers And Potatoes,No GDR Assignment,Banana,0.62,402,95,74.4,1.08,0.3,20.6,2.75,0.9,10,0.3,26,37,187,0,0.36,0,5,9,0,56,0.05,0.05,0.35,22,22,0,4
"Banana, dried, flour",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Banana,1,1550,366,2.3,3.9,1.8,78.5,9.9,3.6,30,1.2,60,100,1030,4,0.62,4,13,25,0,151,0.18,0.24,2.8,14,14,0,7.1
"Banana, plantain, green, raw",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Plantain,0.5,410,97,73.6,1.4,0.4,20.1,3.6,0.9,7,0.8,23,29,322,10,0.23,1,0,1,0,3,0.06,0.04,0.33,19,19,0,23.3
"Beet Root Juice, Fresh",Juice,Other Vegetables,Other Fruits And Vegetables,No PHDI Assignment,Sodas/Sugar-Sweetened Beverages,Beetroot,0.1,184,44,86.1,2.17,0.1,6.9,3.31,1.4,13,0.8,11,36,298,60,0.55,0,1,2,0,10,0.01,0.02,0.3,110,110,0,5.3
"Beet root, peeled, boiled",Cruciferous Vegetables,Other Vegetables,Other Fruits And Vegetables,Other Vegetables,Other Vegetables,Beetroot,1,186,44,86,2.2,0.1,7,3.3,1.4,12,62.9,7,32,135,33,0.42,0,1,1,0,7,0.01,0.01,0.2,56,56,0,2
"Beet root, peeled, raw",Cruciferous Vegetables,Other Vegetables,Other Fruits And Vegetables,Other Vegetables,Other Vegetables,Beetroot,0.85,184,44,86.1,2.17,0.1,6.9,3.31,1.4,13,0.8,11,36,298,60,0.55,0,1,2,0,10,0.01,0.02,0.3,110,110,0,5.3
"Beet root, peeled, stewed",Cruciferous Vegetables,Other Vegetables,Other Fruits And Vegetables,Other Vegetables,Other Vegetables,Beetroot,1,174,41,86.9,2,0.1,6.5,3.1,1.3,12,0.8,11,34,281,56,0.52,0,1,1,0,6,0.01,0.01,0.3,73,73,0,4
Bhature (Fried Indian Bread),White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Wheat,1,1410,337,36.1,5.9,18.5,35.9,1.7,1.9,62,2.8,18,108,109,518,0.5,1,73,87,58,170,0.38,0.27,2.4,180,15,0.35,1.4
Cassava Porridge (Uji wa Muhogo),White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Cassava,1,121,28,92.6,0.1,0,6.8,0.3,0.2,12,0.1,4,7,39,5,0.05,0,0,0,0,1,0,0.01,0.1,2,2,0,0.2
"Cassava, roasted",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Cassava,1,0,0,0,0,0,0,0,0,38,0.99,28,56,478,182,0.33,0.2,0,0,0,0,0,0,0,0,0,0,0
"Cassava, root, white, peeled, boiled",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Cassava,1,627,148,60.5,1.1,0.2,33.4,3.9,0.8,27,0.7,10,17,171,1,0.26,1,1,1,0,6,0.15,0.01,0.3,15,15,0,23
"Cassava, root, white, peeled, raw",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Cassava,0.93,733,173,53.8,1.3,0.3,39.1,4.6,1,33,0.9,13,21,250,2,0.34,1,1,1,0,8,0.23,0.01,0.4,27,27,0,38
"Cassava, root, yellow, peeled, boiled",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Cassava,1,454,107,70.7,1.4,0.2,23.1,4,0.7,15,0.5,7,21,198,1,0.26,1,49,99,0,593,0.06,0.02,0.5,15,15,0,25
"Cassava, root, yellow, peeled, raw",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Cassava,0.95,531,126,65.7,1.6,0.2,27,4.7,0.8,18,0.6,9,27,290,2,0.34,1,61,122,0,730,0.09,0.03,0.8,27,27,0,41
Enriched Mashed Bananas,White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Banana;Cow,1,568,136,72.9,0.1,7.8,14.3,2.6,1.5,8,0.5,17,22,207,276,0.16,1,63,67,59,48,0.03,0.03,0.2,9,9,0.01,11.6
Enriched Mashed Potatoes,White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Potato;Cow,1,591,141,70.4,2,6.2,18.6,1.4,1.4,10,1.1,16,67,529,209,0.26,1,51,54,48,38,0.05,0.03,0.9,34,34,0,4.9
Enriched Matoke,White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Banana;Cow,1,465,111,73.7,2.4,3.5,15.8,3.2,1.4,15,0.9,33,37,256,220,0.32,2,0,0,0,2,0.08,0.04,1,14,14,0,12
Mashed Bananas,White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Banana,1,344,81,76.9,1.2,0.3,16.9,3,1.7,8,0.6,20,25,245,348,0.19,1,0,0,0,2,0.04,0.03,0.2,11,11,0,13.7
Mashed Potato and Bananas,White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Potato;Banana,1,750,179,62.1,2.3,8.5,22.1,2.6,2.4,12,1.4,23,70,551,544,0.36,1,4,8,0,49,0.06,0.04,0.9,35,35,0,12.6
Mashed Potatoes,White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Potato,1,449,106,71,2.5,0.2,22.8,1.7,1.8,10,1.4,20,82,650,330,0.32,1,0,0,0,0,0.06,0.03,1.1,42,42,0,6
Matoke (Green Bananas Stew),White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Banana,1,350,84,81.8,1,3.8,10.4,2.2,0.8,9,0.7,15,24,175,100,0.21,1,6,13,0,75,0.03,0.03,0.3,10,10,0,13.2
Matoke (Stewed Green Bananas),White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Banana,1,350,84,81.8,1,3.8,10.4,2.2,0.8,9,0.7,15,24,175,100,0.21,1,6,13,0,75,0.03,0.03,0.3,10,10,0,13.2
Mukimo wa Njahi (Raw & Ripe Bananas),White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Black bean;Banana,1,636,151,57.7,6.4,0.6,26.6,6.5,2.2,24,2.2,54,103,437,229,0.79,3,1,2,0,12,0.15,0.07,0.8,14,14,0,9.8
"Porridge (Cassava, Millet & Sorghum)",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Cassava;Millet;Sorghum,1,194,46,87.9,0.5,0.1,10.2,1,0.3,18,0.4,10,15,47,6,0.12,1,0,0,0,1,0.01,0.01,0.2,4,4,0,0.1
Potato Curry,White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Potato,1,608,145,69,2.2,7,17.3,2.2,2.3,25,1.7,22,68,475,537,0.41,1,10,20,0,120,0.06,0.04,0.9,32,32,0,11.4
"Potato, Irish (English), white variety, peeled, boiled",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Potato,1,447,105,72.1,2.4,0.1,22.7,1.7,1,8,1.3,17,76,516,5,0.29,0,0,0,0,0,0.05,0.03,0.9,34,34,0,5
"Potato, Irish (English), white variety, peeled, raw",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Potato,0.85,447,105,72.1,2.4,0.1,22.7,1.68,1,9,1.4,19,81,645,6.46,0.32,1,0,0,0,0,0.07,0.04,1.2,53,53,0,6.6
"Potato, Irish (English), white variety, peeled, steamed",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Potato,1,456,107,71.5,2.5,0.2,23.2,1.7,1,8,1.3,18,79,559,6,0.31,0,0,0,0,0,0.06,0.04,1.1,33,33,0,5
"Radish, long, red skin, raw",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Radish,0.98,57,14,94.7,0.6,0.1,1.3,2.5,0.8,28,0.37,13,27,193,25,0.16,0,0,0,0,2,0.06,0.02,0.3,26,26,0,17
"Radish, round, red skin, raw",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Radish,0.81,64,15,94.5,0.8,0.16,1.6,2.3,0.7,36,0.4,22,22,103,32.27,0.18,0,0,0,0,1,0.02,0.03,0.3,25,25,0,21
"Radish, white skin, raw",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Radish,0.99,93,22,93,1.1,0.3,2.7,2.1,0.7,40,0.4,14,20,249,26,0.34,0,1.25,3,0,15,0.03,0.02,0.5,28,28,0,15
Stewed Potatoes & Arrowroots,White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Potato;Arrowroot,1,380,90,78,1.9,2.1,15,1.8,1.2,8,0.9,17,38,401,173,0.44,1,3,7,0,40,0.08,0.05,1,12,12,0,7.1
"Sweet potato (viazi tamu), brown skin, peeled, boiled",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Sweet potato,0.99,428,101,72,1.7,0.4,20.8,4,1.2,21,0.4,10,23,311,16,0.25,0,8,16,0,95,0.05,0.03,0.6,10,10,0,13
"Sweet potato (viazi tamu), Orange (chungwa), biofortified, boiled",Deep Orange Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,"Vitamin A-Rich Orange Vegetables, Roots And Tubers",Sweet potato,0.99,325,77,78.7,1.9,0.1,15.6,3,0.7,26,0.5,13,31,200,8,0.45,0,491,981,0,5890,0.02,0.04,0.8,7,7,0,22
"Sweet potato (viazi tamu), pink skin, boiled",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Sweet potato,0.99,349,83,76.8,1.8,0.6,15.6,3.9,1.3,13,0.9,17,57,198,9,0.13,0,1,2,0,11,0.05,0.03,0.5,9,9,0,16
"Sweet potato (viazi tamu), roasted",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Sweet potato,1,0,95,0,2.11,0.15,21.83,3.5,0,0,0,0,0,0,0,0,0,912,0,0,10920,0.107,0.106,1.556,0,7,0,19.2
"Sweet potato, brown skin, peeled, raw",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Sweet potato,0.84,428,101,72,1.7,0.4,20.8,4,1.2,22,0.4,12,25,389,20,0.28,0,8,17,0,100,0.07,0.03,0.8,16,16,0,18
"Sweet potato, pink skin",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Sweet potato,0.84,349,83,76.8,1.8,0.6,15.6,3.9,1.3,14,1,19,61,247,11,0.14,0,1,2,0,11,0.07,0.03,0.7,14,14,0,22
"Sweetpotato, orange, biofortified, raw",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Sweet potato,0.92,325,76.9,78.7,1.9,0.1,15.6,3,0.7,27,0.5,14,33,250,10,0.5,1,517,1030,0,6200,0.03,0.05,1,11,11,0,31
"Taro, peeled, raw",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Taro,0.9,411,97,73,1.8,0.2,20.3,3.5,1.2,51,0.7,20,88,300,10,0.6,1,3,5,0,30,0.1,0.03,0.7,22,22,0,12
"Turnip, root, raw",White Roots And Tubers,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",Tubers And Potatoes,No GDR Assignment,Turnip,0.77,94,22,93.1,0.7,0.2,3.6,1.7,0.8,34,0.5,11,39,320,29,0.2,1,0,0,0,0,0.04,0.04,0.7,15,15,0,23
